_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry
1804,1825,EGLINTON AVE E,None,TORRANCE RD,PRIVATE ACCESS,None,None,1999-07-16T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1804,9011614,13451634,,,,,1804,,,,2020-12-24T00:00:00,2020-12-24T00:00:00,2023-12-14T00:00:00,2023-12-14T00:00:00,"EW Dynamic LPI implemented on Dec 14, 2023","{""coordinates"": [[-79.23525599416296, 43.73952999617402]], ""type"": ""MultiPoint""}"
1805,1826,BRIMLEY RD,None,GOLDEN GATE CRT,OMNI DR,None,None,1999-08-09T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1805,107930,13446880,,,,,1805,,,,2021-07-05T00:00:00,2021-07-05T00:00:00,2021-07-05T00:00:00,2021-07-05T00:00:00,None,"{""coordinates"": [[-79.26187253154018, 43.77194238363695]], ""type"": ""MultiPoint""}"
1806,1827,LAWRENCE AVE E,None,BRIDGEPORT DR,CHARLOTTETOWN BLVD,None,None,1999-06-18T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1806,30058963,13445741,,,,,1806,,,,2022-02-16T00:00:00,2022-02-16T00:00:00,2022-02-16T00:00:00,2022-02-16T00:00:00,None,"{""coordinates"": [[-79.14082099749417, 43.7786450039637]], ""type"": ""MultiPoint""}"
1807,1828,EASTERN AVE,175m EAST OF,COXWELL AVE,PRIVATE ACCESS,TELETHEATRE ACCESS,None,1999-01-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1807,30034345,,1,,,,1807,,,,2023-04-06T00:00:00,2023-04-06T00:00:00,2023-04-06T00:00:00,2023-04-06T00:00:00,None,"{""coordinates"": [[-79.31426999565615, 43.665970000443565]], ""type"": ""MultiPoint""}"
1808,1829,STEELES AVE E,225m WEST OF,VICTORIA PARK AVE,PRIVATE ACCESS,CALL NET DR,None,2000-02-02T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1808,436101,,,,,,1808,,,,,,,,None,"{""coordinates"": [[-79.3442000030033, 43.81495999669571]], ""type"": ""MultiPoint""}"
1809,1830,VICTORIA PARK AVE,237m SOUTH OF,STEELES AVE E,PRIVATE ACCESS,SPRINT CANADA DRIVEWAY,None,1999-12-23T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1809,11467214,,,,,,1809,,,,2021-05-21T00:00:00,2021-05-21T00:00:00,,,None,"{""coordinates"": [[-79.34047999750787, 43.8136400021925]], ""type"": ""MultiPoint""}"
1810,1831,ANNETTE ST,None,EVELYN AVE,None,None,None,2007-03-08T13:20:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1810,14015266,13465149,1,,,,1810,,,,2022-02-02T00:00:00,2022-02-02T00:00:00,2022-02-02T00:00:00,2022-02-02T00:00:00,None,"{""coordinates"": [[-79.47521899723833, 43.66111699865016]], ""type"": ""MultiPoint""}"
1811,1832,THE QUEENSWAY,230m EAST OF,THE WEST MALL,PRIVATE ACCESS,SHERWAY GARDEN ACCESS,None,1999-08-10T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1811,913972,,,,,,1811,,,,2023-09-13T00:00:00,2023-09-13T00:00:00,2023-09-13T00:00:00,2023-09-13T00:00:00,None,"{""coordinates"": [[-79.56037000407012, 43.613629997876174]], ""type"": ""MultiPoint""}"
1812,1834,OVERLEA BLVD,175m WEST OF,THORNCLIFFE PARK DR,PRIVATE ACCESS,"EAST YORK TOWN CENTRE, COSTCO",None,2000-03-23T23:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1812,649,,1,,,,1812,,,,2024-12-16T00:00:00,2024-12-16T00:00:00,2024-12-16T00:00:00,2024-12-16T00:00:00,None,"{""coordinates"": [[-79.34565999736492, 43.70703000198726]], ""type"": ""MultiPoint""}"
1813,1835,BLOOR ST W,None,FORESTVIEW RD,MAPLEDAWN RD,None,None,1999-07-29T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1813,912865,13469193,1,,,,1813,,,,2023-07-28T00:00:00,2023-07-28T00:00:00,2019-10-24T00:00:00,2019-10-24T00:00:00,"North & South: Crosswalk

2023 LPI Retainer Locations (EW LPI)","{""coordinates"": [[-79.57342399793593, 43.63278399871155]], ""type"": ""MultiPoint""}"
1814,1836,O CONNOR DR,None,GLENWOOD CRES,None,None,None,2001-01-23T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1814,7847769,13457547,,,,,1814,,,,2021-10-28T00:00:00,2021-10-28T00:00:00,2021-10-28T00:00:00,2021-10-28T00:00:00,None,"{""coordinates"": [[-79.3156280044189, 43.702767995878304]], ""type"": ""MultiPoint""}"
1815,1837,LAWRENCE AVE W,None,GLEN RUSH BLVD,None,None,None,1999-08-19T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1815,9694792,13455026,,,,,1815,,,,2021-02-05T00:00:00,2021-02-05T00:00:00,2021-02-05T00:00:00,2021-02-05T00:00:00,None,"{""coordinates"": [[-79.4266370020135, 43.719941000895176]], ""type"": ""MultiPoint""}"
1816,1838,LAWRENCE AVE E,None,EAST AVE,PRIVATE ACCESS,ROUGE HILL GO STATION,None,1999-08-16T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1816,13499222,13445495,1,,,,1816,,,,2022-02-16T00:00:00,2022-02-16T00:00:00,2022-02-16T00:00:00,2022-02-16T00:00:00,None,"{""coordinates"": [[-79.13162400191592, 43.780703997711186]], ""type"": ""MultiPoint""}"
1817,1839,WARDEN AVE,75m NORTH OF,MACK AVE,None,None,None,1999-03-09T00:00:00,TransSuite,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,2,1817,60007783,13457877,1,,,,1817,,,,,,,,None,"{""coordinates"": [[-79.27608700033421, 43.700201999331775]], ""type"": ""MultiPoint""}"
1818,1840,THE EAST MALL,70m NORTH OF,CANTLE PATH,PRIVATE ACCESS,LOBLAWS ENTRANCE,CANTLE PATH (SOUTH),1999-09-15T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1818,13969709,,,,,,1818,,,,2020-11-12T00:00:00,2020-11-12T00:00:00,,2020-11-12T00:00:00,"North, South & West Crosswalk","{""coordinates"": [[-79.55887599847459, 43.64465400270712]], ""type"": ""MultiPoint""}"
1819,1841,COMMISSIONERS ST,None,DON ROADWAY,PRIVATE ACCESS,None,None,2000-04-27T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1819,60016980,13466878,,,,,1819,,,,,,,,None,"{""coordinates"": [[-79.34502766859258, 43.64867586317612]], ""type"": ""MultiPoint""}"
1820,1843,COMMISSIONERS ST,None,CARLAW AVE,PRIVATE ACCESS,None,None,2000-04-27T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1820,8353784,13466194,,,,,1820,,,,,,2026-02-12T00:00:00,2026-02-12T00:00:00,None,"{""coordinates"": [[-79.33553899875955, 43.65261500377777]], ""type"": ""MultiPoint""}"
1821,1844,COMMISSIONERS ST,None,LESLIE ST,None,None,MARTIN GOODMAN TRAIL,2000-04-27T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1821,8353636,13465538,1,,,1,1821,,,1,,,,,None,"{""coordinates"": [[-79.32633600229882, 43.65651400224678]], ""type"": ""MultiPoint""}"
1822,1845,FRONT ST E,None,GEORGE ST,GEORGE ST S,None,None,2000-11-01T23:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1822,1145495,13466733,1,,,,1822,,,,2021-08-19T00:00:00,2021-08-19T00:00:00,2021-08-19T00:00:00,2021-08-19T00:00:00,None,"{""coordinates"": [[-79.37031500186372, 43.64981899739079]], ""type"": ""MultiPoint""}"
1823,1846,VICTORIA PARK AVE,None,MUSGRAVE ST,PRIVATE ACCESS,None,None,2000-04-25T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1823,4436223,13460032,,,,,1823,,,,2020-12-10T00:00:00,2020-12-10T00:00:00,,,None,"{""coordinates"": [[-79.28700199567825, 43.687938997964196]], ""type"": ""MultiPoint""}"
1824,1847,DUNDAS ST W,None,MABELLE AVE,None,None,None,1999-10-28T00:00:00,TransSuite,None,SA2,0.8 m/s (FDW based on full crossing @ 1.0 m/s),Pushbutton Actuated,3,1824,10759689,13467586,1,,,,1824,,,,,2024-12-12T00:00:00,2018-07-19T00:00:00,2018-07-19T00:00:00,"North: None, South: Crosswalk","{""coordinates"": [[-79.53055300212084, 43.6467730036529]], ""type"": ""MultiPoint""}"
1825,1848,FINCH AVE W,None,WOODBINE DOWNS BLVD,HALESIA DR,None,None,2003-10-22T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1825,907223,13453318,,1,,,1825,,,,,,,,None,"{""coordinates"": [[-79.60671800176651, 43.733721997800004]], ""type"": ""MultiPoint""}"
1826,1849,BRENTCLIFFE RD,None,VANDERHOOF AVE,None,None,None,2000-11-07T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1826,30124297,13456008,,,,,1826,,,,,,,,None,"{""coordinates"": [[-79.35909700122, 43.712878996493366]], ""type"": ""MultiPoint""}"
1827,1850,DANFORTH AVE,None,THYRA AVE,PRIVATE ACCESS,SHOPPERS WORLD,None,2000-06-14T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1827,10878800,13459528,,,,,1827,,,,2025-12-10T00:00:00,2025-12-10T00:00:00,2023-03-22T00:00:00,2023-03-22T00:00:00,None,"{""coordinates"": [[-79.29027599393359, 43.690793998163166]], ""type"": ""MultiPoint""}"
1828,1851,KING ST W,None,SUDBURY ST,PRIVATE ACCESS,None,None,2000-07-02T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1828,1146840,13468120,,1,,,1828,,,,,,,,None,"{""coordinates"": [[-79.4172440031165, 43.64099099828731]], ""type"": ""MultiPoint""}"
1829,1852,DUNDAS ST W,275m EAST OF,ROYAL YORK RD,PRIVATE ACCESS,KINGSWAY MILLS PLAZA,None,2000-01-20T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,3,1829,30113585,,,,,,1829,,,,2024-12-12T00:00:00,2024-12-12T00:00:00,2024-12-12T00:00:00,2024-12-12T00:00:00,Added as part of 2024 Coordination Study,"{""coordinates"": [[-79.51357800347819, 43.65946000229588]], ""type"": ""MultiPoint""}"
1830,1855,KIPLING AVE,None,LONGFIELD RD,THE KINGSWAY,None,None,2000-06-07T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1830,909710,13463235,,,,,1830,,,,2022-05-31T00:00:00,2022-05-31T00:00:00,2022-05-31T00:00:00,2022-05-31T00:00:00,None,"{""coordinates"": [[-79.54931800541273, 43.673590998387645]], ""type"": ""MultiPoint""}"
1831,1857,EASTERN AVE,None,LARCHMOUNT AVE,None,None,None,2000-09-07T11:20:00,TransSuite,None,PA - IPS,1.0 m/s (FDW based on full crossing @1.2m/s),None,2,1831,14037313,13465059,,,,,1831,,,,,,,,None,"{""coordinates"": [[-79.33318500061034, 43.65966599619613]], ""type"": ""MultiPoint""}"
1832,1858,PRINCES BLVD,None,NUNAVUT RD,PRIVATE ACCESS,None,None,2000-12-09T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1832,14065264,14065206,1,,,,1832,,,,,,,,None,"{""coordinates"": [[-79.41528999628366, 43.63316200138952]], ""type"": ""MultiPoint""}"
1833,1859,STEELES AVE E,None,PRIVATE ACCESS,None,BAYVIEW GATES CONDO,OLD ENGLISH LANE NORTH OF STEELES,2000-05-07T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1833,14228179,14228180,1,,,,1833,,,,2025-01-20T00:00:00,2025-01-20T00:00:00,2025-01-20T00:00:00,2025-01-20T00:00:00,None,"{""coordinates"": [[-79.3927340034043, 43.80403399676734]], ""type"": ""MultiPoint""}"
1834,1861,FINCH AVE E,None,LISZT GT,TRUDY RD,None,None,2000-03-08T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1834,30105073,13444657,,1,,,1834,,,,2021-04-30T00:00:00,2021-04-30T00:00:00,2021-04-30T00:00:00,2021-04-30T00:00:00,None,"{""coordinates"": [[-79.36307600185793, 43.790833996609344]], ""type"": ""MultiPoint""}"
1835,1863,THE QUEENSWAY,150m WEST OF,ISLINGTON AVE,PRIVATE ACCESS,None,None,2000-05-12T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1835,20040308,,1,,,,1835,,,,,,2022-10-12T00:00:00,2022-10-12T00:00:00,None,"{""coordinates"": [[-79.5167700018425, 43.6231900027932]], ""type"": ""MultiPoint""}"
1836,1864,DUNDAS ST W,50m NORTH OF,CHELSEA AVE,PRIVATE ACCESS,None,None,2001-02-20T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,3,1836,2195885,13465560,,,,,1836,,,,2021-01-20T00:00:00,2021-01-20T00:00:00,2021-01-20T00:00:00,,T-intersection (no west leg),"{""coordinates"": [[-79.45295700557269, 43.6582050004151]], ""type"": ""MultiPoint""}"
1837,1865,QUEEN ST E,None,SUMACH ST,None,None,None,2000-11-10T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1837,8754168,13465571,,1,,,1837,1,,,,,,,None,"{""coordinates"": [[-79.35892400129299, 43.656833000477754]], ""type"": ""MultiPoint""}"
1838,1866,YORK MILLS RD,None,SCARSDALE RD,PRIVATE ACCESS,YORK MILLS SQ,None,2000-09-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1838,440789,13449731,1,,,,1838,,,,,,2023-12-19T00:00:00,2023-12-19T00:00:00,None,"{""coordinates"": [[-79.35749299505527, 43.75349300211398]], ""type"": ""MultiPoint""}"
1839,1867,KIPLING AVE,None,MATTICE AVE,MATTICE RD,None,None,2000-10-19T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1839,911486,13467571,,,,,1839,,,,2023-03-28T00:00:00,2023-03-28T00:00:00,2023-03-28T00:00:00,2023-03-28T00:00:00,None,"{""coordinates"": [[-79.5376300016416, 43.64696699691701]], ""type"": ""MultiPoint""}"
1840,1868,CALEDONIA RD,None,RAITHERM RD,PRIVATE ACCESS,HOME DEPOT PLAZA,None,2000-06-09T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1840,3202449,13458026,,,,,1840,,,,,,,,None,"{""coordinates"": [[-79.46435600037638, 43.70192399693606]], ""type"": ""MultiPoint""}"
1841,1869,KEELE ST,None,DOVEHOUSE AVE,None,None,None,2003-12-23T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1841,30107606,13450594,,,,,1841,1,,,2021-06-28T00:00:00,2021-06-28T00:00:00,2021-06-28T00:00:00,2021-06-28T00:00:00,None,"{""coordinates"": [[-79.48759200382241, 43.74960700219616]], ""type"": ""MultiPoint""}"
1842,1870,PHARMACY AVE,None,DOLPHIN DR,PRIVATE ACCESS,None,None,2000-07-11T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1842,2312030,13457926,,,,,1842,,,,2024-05-30T00:00:00,2024-05-30T00:00:00,2024-05-30T00:00:00,2024-05-30T00:00:00,None,"{""coordinates"": [[-79.28672899672905, 43.700084000714696]], ""type"": ""MultiPoint""}"
1843,1871,SHERWAY GARDENS RD,None,GARDINER X W SHERWAY GARDENS RAMP,None,SHERWAY GARDENS,GARDINER WB OFF RAMP,2000-01-12T00:00:00,SCOOT,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1843,14257769,14256202,,,,,1843,,,,,,,,None,"{""coordinates"": [[-79.55234599740287, 43.6130879994157]], ""type"": ""MultiPoint""}"
1844,1872,EGLINTON AVE E,None,PRUDHAM GT,PRIVATE ACCESS,None,None,2000-11-24T00:00:00,SCOOT,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1844,111509,13453473,,,,,1844,,,,,,,,None,"{""coordinates"": [[-79.28482900244485, 43.72847099966501]], ""type"": ""MultiPoint""}"
1845,1873,MARTIN GROVE RD,None,RICHGROVE DR,None,None,None,2001-03-05T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1845,7009570,13462745,,,,,1845,,,,2021-04-22T00:00:00,2021-04-22T00:00:00,2021-04-22T00:00:00,2021-04-22T00:00:00,None,"{""coordinates"": [[-79.56421899439525, 43.6768370001103]], ""type"": ""MultiPoint""}"
1846,1874,WILSON AVE,300m EAST OF,DUFFERIN ST,PRIVATE ACCESS,None,None,2001-08-03T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1846,14246094,,,1,,,1846,,,,,,2024-01-02T00:00:00,2024-01-02T00:00:00,None,"{""coordinates"": [[-79.45531999801639, 43.732839998918884]], ""type"": ""MultiPoint""}"
1847,1875,DUFFERIN ST,None,BILLY BISHOP WAY,None,None,240 m SOUTH OF WILSON AVE,2001-07-03T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1847,14203392,14203394,,1,,,1847,,,,,,,,None,"{""coordinates"": [[-79.45836699530858, 43.72992899840982]], ""type"": ""MultiPoint""}"
1848,1876,ALNESS ST,None,FLINT RD,None,None,None,2000-11-21T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1848,11272575,13445966,,,,,1848,,,,2025-12-11T00:00:00,2025-12-11T00:00:00,2023-09-26T00:00:00,2023-09-26T00:00:00,North.South LPI means east and west leg -- Jason X.,"{""coordinates"": [[-79.47816499837506, 43.78193900365358]], ""type"": ""MultiPoint""}"
1849,1877,DON MILLS RD,None,PRIVATE ACCESS,None,CF FAIRVIEW MALL,DON MILLS STATION WEST SIDE,2002-10-29T23:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1849,438191,,1,,,,1849,,,,,,,,None,"{""coordinates"": [[-79.34762348843222, 43.776486887371945]], ""type"": ""MultiPoint""}"
1850,1878,DUNDAS ST W,None,MANNING AVE,None,None,None,2000-11-14T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1850,14039740,13466586,1,1,,,1850,,,,2025-01-14T00:00:00,2025-01-14T00:00:00,,,NS LPI,"{""coordinates"": [[-79.41091900512285, 43.65130799560274]], ""type"": ""MultiPoint""}"
1851,1879,THE QUEENSWAY,None,GLENDALE AVE,None,None,None,2001-08-31T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1851,10757619,13468370,1,,,,1851,,,,,,,,None,"{""coordinates"": [[-79.4513100015762, 43.639339000692516]], ""type"": ""MultiPoint""}"
1852,1880,ANNETTE ST,None,PACIFIC AVE,None,None,None,2001-08-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1852,1143477,13464799,1,,,,1852,,,,2022-02-09T00:00:00,2022-02-09T00:00:00,2022-02-09T00:00:00,2022-02-09T00:00:00,None,"{""coordinates"": [[-79.46765200480917, 43.66325100039913]], ""type"": ""MultiPoint""}"
1853,1881,SPADINA RD,None,BURTON RD,KILBARRY RD,None,None,2006-02-28T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1853,1139070,13459482,1,,,,1853,,,,2019-08-02T00:00:00,2019-08-02T00:00:00,2021-12-10T00:00:00,2021-12-10T00:00:00,None,"{""coordinates"": [[-79.41442499965679, 43.69282699725325]], ""type"": ""MultiPoint""}"
1854,1882,PHARMACY AVE,None,DEWEY DR,None,None,None,2000-08-12T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1854,2820803,13449395,,,,,1854,,,,2020-03-19T00:00:00,2020-03-19T00:00:00,2020-03-19T00:00:00,2020-03-19T00:00:00,None,"{""coordinates"": [[-79.30937799645375, 43.75501499823521]], ""type"": ""MultiPoint""}"
1855,1883,BATHURST ST,None,ADELAIDE ST W,None,None,None,2001-11-09T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,2,1855,8457315,13467569,1,1,,,1855,1,,,,,,,None,"{""coordinates"": [[-79.40323300218913, 43.64519199997745]], ""type"": ""MultiPoint""}"
1856,1884,KIPLING AVE,30m NORTH OF,STEVENSON RD,None,None,None,2000-08-12T00:00:00,TransSuite,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,2,1856,8206167,,1,,,,1856,,,,,,,,None,"{""coordinates"": [[-79.58288000157388, 43.7449499979364]], ""type"": ""MultiPoint""}"
1857,1885,ISLINGTON AVE,None,TITAN RD,None,None,None,2000-07-12T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1857,912979,13469267,1,,,,1857,,,,2019-12-05T00:00:00,2019-12-05T00:00:00,,2021-01-07T00:00:00,"East: None, West: Crosswalk","{""coordinates"": [[-79.5177620053191, 43.63087600287034]], ""type"": ""MultiPoint""}"
1858,1886,MARTIN GROVE RD,None,PORTERFIELD RD,None,None,None,2001-01-25T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1858,907838,13454996,1,,,,1858,,,,2021-04-22T00:00:00,2021-04-22T00:00:00,2021-04-22T00:00:00,2021-04-22T00:00:00,None,"{""coordinates"": [[-79.58501100478132, 43.722176996827116]], ""type"": ""MultiPoint""}"
1859,1887,BURNHAMTHORPE RD,None,OLD BURNHAMTHORPE RD,None,None,WEST INTERSECTION,2001-08-29T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1859,912092,13468412,1,,,,1859,,,,,,,,None,"{""coordinates"": [[-79.58199699485176, 43.640649997011835]], ""type"": ""MultiPoint""}"
1860,1888,MOUNT PLEASANT RD,None,GLENGOWAN RD,None,None,None,2001-03-26T23:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1860,1137940,13454880,,,,,1860,,,,2025-12-01T00:00:00,2025-12-01T00:00:00,2025-12-01T00:00:00,2025-12-01T00:00:00,None,"{""coordinates"": [[-79.39494600551069, 43.72039300080116]], ""type"": ""MultiPoint""}"
1861,1889,DANFORTH AVE,200m EAST OF,MAIN ST,PRIVATE ACCESS,CANADIAN TIRE ACCESS,None,2001-06-02T00:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,1861,14066698,,1,,,,1861,,,,,,2020-12-14T00:00:00,2020-12-14T00:00:00,None,"{""coordinates"": [[-79.29952800467707, 43.688678002488345]], ""type"": ""MultiPoint""}"
1862,1890,KIPLING AVE,None,GARDINER WB OFF RAMP,None,None,None,2000-07-12T00:00:00,SCATS,None,SAV,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1862,20111019,20111021,,,,,1862,,1,,,,,,None,"{""coordinates"": [[-79.52601799426827, 43.61919199827967]], ""type"": ""MultiPoint""}"
1863,1891,SCARLETT RD,None,LA ROSE AVE,None,None,None,2001-02-13T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1863,909099,13460834,,,,,1863,,,,2024-11-05T00:00:00,2024-11-05T00:00:00,2024-11-05T00:00:00,2024-11-05T00:00:00,None,"{""coordinates"": [[-79.51314699867555, 43.68684799811053]], ""type"": ""MultiPoint""}"
1864,1892,THE QUEENSWAY,60m EAST OF,ALGIE AVE,PRIVATE ACCESS,IKEA ACCESS,None,2001-09-28T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1864,7336739,,,,,,1864,,,,2023-11-23T00:00:00,2023-11-23T00:00:00,,,None,"{""coordinates"": [[-79.53625000049884, 43.61885000254674]], ""type"": ""MultiPoint""}"
1865,1894,PARLIAMENT ST,None,MILL ST,None,None,None,2001-05-23T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1865,30003462,13466646,1,,,,1865,1,,,2019-10-24T00:00:00,2019-10-24T00:00:00,,,"East: Crosswalk, West: None","{""coordinates"": [[-79.36214099545488, 43.65019700374258]], ""type"": ""MultiPoint""}"
1866,1895,LAWRENCE AVE W,None,BLOSSOMFIELD DR,None,None,None,2001-06-11T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1866,10335558,13455830,,,,,1866,,,,,,2021-01-27T00:00:00,2021-01-27T00:00:00,None,"{""coordinates"": [[-79.44840799652266, 43.71521300194926]], ""type"": ""MultiPoint""}"
1867,1896,MIDLAND AVE,None,BAYLAWN DR,BOARHILL DR,None,None,2001-07-25T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1867,105058,13443404,1,,,,1867,,,,2023-08-17T00:00:00,2023-08-18T00:00:00,2023-08-18T00:00:00,2023-08-18T00:00:00,None,"{""coordinates"": [[-79.28470799772805, 43.80003999654941]], ""type"": ""MultiPoint""}"
1868,1897,OAKDALE RD,376m SOUTH OF,FINCH AVE W,PRIVATE ACCESS,HUMBER RIVER HOSPITAL/ WESTVIEW SCHOOL,None,2011-12-15T10:29:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1868,10536929,,1,,,,1868,,,,,,,,None,"{""coordinates"": [[-79.5260100003446, 43.753249995838225]], ""type"": ""MultiPoint""}"
